# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 2.000e-04, 2.000e-04 m
# PONI: 1.995e-01, 2.016e-01 m
# Distance Sample to Detector: 1.79502286468 m
# Rotations: -0.004483 0.004646 0.000019 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1795.060 mm
# Center: x=1048.052, y=1039.198 pix
# Tilt: 0.370 deg  TiltPlanRot: 46.021 deg
# 
# Wavelength: 1.4235e-11
# Polarization factor: None
# Normalization factor: 1.0
# --> /Volumes/desy/desy_2018/TiAlNi/TiAlNi_1-00051.txt
#       2th_deg             I 
  1.590692e+00    1.222564e+02
  1.593808e+00    1.231854e+02
  1.596924e+00    1.225430e+02
  1.600040e+00    1.203136e+02
  1.603156e+00    1.173843e+02
  1.606272e+00    1.150532e+02
  1.609388e+00    1.141218e+02
  1.612504e+00    1.131652e+02
  1.615620e+00    1.123133e+02
  1.618736e+00    1.120850e+02
  1.621852e+00    1.120975e+02
  1.624968e+00    1.118137e+02
  1.628084e+00    1.113339e+02
  1.631200e+00    1.110811e+02
  1.634316e+00    1.109300e+02
  1.637432e+00    1.107288e+02
  1.640548e+00    1.104508e+02
  1.643664e+00    1.103866e+02
  1.646780e+00    1.102935e+02
  1.649895e+00    1.106218e+02
  1.653011e+00    1.104734e+02
  1.656127e+00    1.103519e+02
  1.659243e+00    1.100496e+02
  1.662359e+00    1.099384e+02
  1.665475e+00    1.096625e+02
  1.668591e+00    1.094570e+02
  1.671707e+00    1.091834e+02
  1.674823e+00    1.091786e+02
  1.677939e+00    1.089758e+02
  1.681055e+00    1.091437e+02
  1.684171e+00    1.088367e+02
  1.687287e+00    1.087022e+02
  1.690403e+00    1.084858e+02
  1.693519e+00    1.082423e+02
  1.696635e+00    1.082229e+02
  1.699751e+00    1.084367e+02
  1.702867e+00    1.086687e+02
  1.705983e+00    1.085419e+02
  1.709099e+00    1.081730e+02
  1.712214e+00    1.076698e+02
  1.715330e+00    1.075388e+02
  1.718446e+00    1.076167e+02
  1.721562e+00    1.083640e+02
  1.724678e+00    1.092716e+02
  1.727794e+00    1.114127e+02
  1.730910e+00    1.150555e+02
  1.734026e+00    1.184993e+02
  1.737142e+00    1.211273e+02
  1.740258e+00    1.219310e+02
  1.743374e+00    1.203371e+02
  1.746490e+00    1.160294e+02
  1.749606e+00    1.116519e+02
  1.752722e+00    1.089095e+02
  1.755838e+00    1.077241e+02
  1.758954e+00    1.069034e+02
  1.762070e+00    1.062535e+02
  1.765186e+00    1.057877e+02
  1.768302e+00    1.056353e+02
  1.771418e+00    1.056949e+02
  1.774533e+00    1.058582e+02
  1.777649e+00    1.062434e+02
  1.780765e+00    1.063294e+02
  1.783881e+00    1.061414e+02
  1.786997e+00    1.058824e+02
  1.790113e+00    1.056027e+02
  1.793229e+00    1.059348e+02
  1.796345e+00    1.070400e+02
  1.799461e+00    1.089112e+02
  1.802577e+00    1.131824e+02
  1.805693e+00    1.213932e+02
  1.808809e+00    1.328002e+02
  1.811925e+00    1.432684e+02
  1.815041e+00    1.492181e+02
  1.818157e+00    1.473783e+02
  1.821273e+00    1.384869e+02
  1.824389e+00    1.266617e+02
  1.827505e+00    1.166112e+02
  1.830621e+00    1.101057e+02
  1.833737e+00    1.066421e+02
